UsageDateTime,MeterCategory,PreTaxCost,UsageQuantity,Year,Month,Day,DayOfWeek,DayOfYear,IsWeekend
2023-01-01,AI/ML,177170.5593,116064.74,2023,1,1,6,1,1
2023-01-01,Analytics,2922.474,6957.85,2023,1,1,6,1,1
2023-01-01,Compute,10991.2057,10386.92,2023,1,1,6,1,1
2023-01-01,Database,2283.4411999999998,985.8100000000001,2023,1,1,6,1,1
2023-01-01,Management,3235.7688,11832.53,2023,1,1,6,1,1
2023-01-01,Network,2497.2962,10384.73,2023,1,1,6,1,1
2023-01-01,Security,546.8012,778.59,2023,1,1,6,1,1
2023-01-01,Storage,3938.5503,82444.96,2023,1,1,6,1,1
2023-01-02,AI/ML,125658.3136,90549.67,2023,1,2,0,2,0
2023-01-02,Analytics,9009.7732,13645.02,2023,1,2,0,2,0
2023-01-02,Compute,10589.827500000001,7719.19,2023,1,2,0,2,0
2023-01-02,Database,2279.0311,732.81,2023,1,2,0,2,0
2023-01-02,Management,3091.0615,7656.45,2023,1,2,0,2,0
2023-01-02,Network,3757.0276000000003,10346.85,2023,1,2,0,2,0
2023-01-02,Security,941.1437,566.21,2023,1,2,0,2,0
2023-01-02,Storage,4428.9853,73492.74,2023,1,2,0,2,0
2023-01-03,AI/ML,236755.4103,101076.49,2023,1,3,1,3,0
2023-01-03,Analytics,6407.5932,11184.78,2023,1,3,1,3,0
2023-01-03,Compute,13719.5015,10032.58,2023,1,3,1,3,0
2023-01-03,Database,3387.2239,1121.69,2023,1,3,1,3,0
2023-01-03,Management,3651.1725,10415.73,2023,1,3,1,3,0
2023-01-03,Network,2922.2621,8814.41,2023,1,3,1,3,0
2023-01-03,Security,1282.6957,923.72,2023,1,3,1,3,0
2023-01-03,Storage,6480.5678,93524.48,2023,1,3,1,3,0
2023-01-04,AI/ML,162868.759,95280.74,2023,1,4,2,4,0
2023-01-04,Analytics,5299.6029,7107.03,2023,1,4,2,4,0
2023-01-04,Compute,16925.6634,11698.08,2023,1,4,2,4,0
2023-01-04,Database,2994.8971,733.59,2023,1,4,2,4,0
2023-01-04,Management,3197.8493,9593.32,2023,1,4,2,4,0
2023-01-04,Network,2819.8734,8194.35,2023,1,4,2,4,0
2023-01-04,Security,1578.0141,1198.8400000000001,2023,1,4,2,4,0
2023-01-04,Storage,3436.6074,60090.56,2023,1,4,2,4,0
2023-01-05,AI/ML,289682.6326,144562.56,2023,1,5,3,5,0
2023-01-05,Analytics,8025.8488,11868.43,2023,1,5,3,5,0
2023-01-05,Compute,11037.193800000001,8924.08,2023,1,5,3,5,0
2023-01-05,Database,3183.8179,1084.83,2023,1,5,3,5,0
2023-01-05,Management,1097.711,3796.37,2023,1,5,3,5,0
2023-01-05,Network,3597.5978,10136.98,2023,1,5,3,5,0
2023-01-05,Security,1128.8415,1060.72,2023,1,5,3,5,0
2023-01-05,Storage,4605.7409,62441.3,2023,1,5,3,5,0
2023-01-06,AI/ML,247528.6786,107419.3,2023,1,6,4,6,0
2023-01-06,Analytics,4116.2379,7552.1,2023,1,6,4,6,0
2023-01-06,Compute,6892.224,5942.2,2023,1,6,4,6,0
2023-01-06,Database,2095.7907999999998,805.97,2023,1,6,4,6,0
2023-01-06,Management,2717.9699,8655.61,2023,1,6,4,6,0
2023-01-06,Network,1786.1253,5834.4400000000005,2023,1,6,4,6,0
2023-01-06,Security,527.37,362.40999999999997,2023,1,6,4,6,0
2023-01-06,Storage,5182.1961,94214.75,2023,1,6,4,6,0
2023-01-07,AI/ML,73060.894,64887.22,2023,1,7,5,7,1
